Student_ID,Year_of_Entry,TCAS_channels_,Gender,Age,Years_Living_in_BKK,Hometown REGION,Address_Type,Where_to_stay,Time_spent_for_traveling,InternetAccess_at_Home,Living_expenses_,Type_of_prior_school,Prior_School_Province REGION,School name,Math,Physics_,Chemistry_,Biology_,Family_Size,Stay_with,Family_status,Father_Education,Mother_Education,guardian,mother's_job,father's_job,Household_income,Calculus_1,Calculus_2,Calculus_3,Physics_1,Physics_2,Chemistry_,Statistics_,Computer_Programming,Thermodynamics_,Engineering_Materials_,Engineering_Drawing,University_GPAx 1st year,Scholarship : Excellent Performance,Scholarship : Financial Aid,Participation_on_Activities
0001,2020,2,Female,18,0,NE,Urban,Apartment,89,Wifi,10000,High School,BKK,BKK2,4,3.5,3.5,3,3,Alone,Apart,Doctoral,Doctoral,Mother,Freelance,Freelance,940000,3.5,3.5,4,3.5,4,3.5,4,4,4,3.5,1.5,3.56,No,No,High
0002,2020,2,Female,18,0,N,Rural,Home,16,Wifi,13000,High School,N,N10,3,2,3.5,3,4,Parents,Together,Bachelor,Master,Mother,Public,Freelance,1440000,2.5,2.5,3.5,2.5,2,2,2,2.5,2,2.5,1.5,2.49,No,No,High
0003,2020,2,Male,19,19,BKK,Urban,Home,23,Wifi,12000,High School,BKK,BKK10,2,3,2.5,3.5,4,Parents,Together,Doctoral,Doctoral,Mother,Business,Business,1430000,1.5,1,2,1.5,1,1,2,1.5,0,2,2.5,1.66,No,No,Low
0004,2020,2,Male,18,3,BKK,Urban,Home,51,Wifi,47000,Vocational School,BKK,BKK2,3,2,2.5,2.5,4,Parents,Together,Master,Doctoral,Mother,Public,Freelance,5640000,2.5,2.5,3,2.5,2.5,2.5,2.5,3.5,2,2.5,2,2.77,No,No,No
0005,2020,2,Male,18,18,BKK,Urban,Home,73,Mobile,8000,Vocational School,BKK,BKK3,2,4,3.5,4,3,Parents,Together,Bachelor,Vocational,Mother,Public,Private,320000,2,2.5,3,2,1,2.5,2.5,1.5,2,2.5,3.5,2.61,No,Yes,High
0006,2020,3,Female,18,0,S,Urban,Apartment,14,Wifi,10000,High School,S,S9,3,3.5,3.5,2.5,3,Alone,Apart,Master,Master,Mother,Public,Freelance,1220000,2.5,3.5,4,2.5,2.5,2,2.5,2.5,2,2.5,1.5,2.81,No,No,Low
0007,2020,2,Male,18,0,N,Rural,Apartment,25,Wifi,33000,High School,N,N7,2,3.5,3.5,2,3,Alone,Together,Bachelor,Vocational,Father,Freelance,Private,4000000,2,1.5,1.5,2,2,1.5,2.5,2,1,2,2.5,2.09,No,No,Low
0008,2020,2,Female,18,3,BKK,Urban,Home,47,Wifi,47000,Vocational School,BKK,BKK1,4,2.5,3.5,2.5,3,Mom or Dad,Apart,Bachelor,Master,Father,Freelance,Public,5590000,4,4,4,4,3.5,3.5,4,4,2.5,4,3.5,3.68,No,No,Medium
0009,2020,2,Male,20,0,S,Urban,Apartment,112,Mobile,9000,High School,S,S9,3.5,3,2.5,3.5,3,Roommates,Together,Bachelor,Bachelor,Father,Freelance,Private,770000,3,2,3,3.5,3,3,4,3,2.5,4,3,3.19,Yes,No,Low
0010,2020,3,Male,18,18,BKK,Urban,Apartment,90,Mobile,9000,Vocational School,BKK,BKK9,2.5,4,2,2,4,Alone,Together,Bachelor,Vocational,Father,Public,Freelance,520000,2.5,2,2,2,2,1,3,2.5,2,3.5,2.5,2.55,No,No,Medium
0011,2020,3,Male,19,4,NE,Urban,Apartment,49,Wifi,42000,High School,BKK,BKK5,3,3,2,2,3,Alone,Together,Master,Master,Father,Private,Business,5000000,2.5,2,2,2.5,4,1.5,2.5,2,3.5,3.5,2,2.6,No,No,Medium
0012,2020,2,Male,19,4,NE,Urban,Apartment,36,Wifi,8000,High School,BKK,BKK6,4,3,2,3.5,4,Alone,Together,Master,Bachelor,Father,Private,Public,980000,3.5,3,4,3.5,3.5,4,4,4,3,3.5,1.5,3.43,No,No,Medium
0013,2020,3,Male,18,0,NE,Urban,Apartment,87,Mobile,8000,High School,NE,NE2,4,3,2,2,3,Roommates,Apart,Doctoral,Doctoral,Mother,Freelance,Public,600000,4,4,4,4,4,3,4,4,4,4,4,3.87,No,No,Low
0014,2020,2,Male,18,0,NE,Rural,Apartment,84,Wifi,14000,High School,NE,NE10,4,4,4,4,3,Roommates,Together,Master,Doctoral,Father,Business,Business,650000,3.5,3.5,3.5,4,4,3,4,4,2.5,4,3,3.63,No,No,Medium
0015,2020,2,Male,18,0,NE,Rural,Apartment,80,Wifi,29000,High School,BKK,BKK2,3,3.5,4,4,4,Alone,Together,Master,Master,Father,Private,Private,3530000,3,2,2.5,3.5,2.5,1.5,3.5,4,2,3,2.5,2.96,No,No,Medium
0016,2020,3,Male,18,18,BKK,Urban,Home,85,Mobile,12000,Vocational School,BKK,BKK8,3,3,4,2.5,3,Parents,Together,Master,Bachelor,Father,Private,Public,1050000,3,3.5,4,4,4,3.5,3,3,2.5,3.5,3.5,3.39,No,No,Medium
0017,2020,2,Male,18,18,BKK,Urban,Apartment,27,Wifi,18000,High School,BKK,BKK9,4,3.5,3.5,3,2,Alone,Apart,Bachelor,Bachelor,Father,Private,Business,1140000,3,2.5,2,3.5,4,4,3.5,3.5,2.5,3,4,3.32,No,No,Low
0018,2020,2,Female,18,18,BKK,Urban,Home,38,Wifi,13000,Vocational School,BKK,BKK9,4,3.5,3.5,3.5,3,Parents,Together,Doctoral,Doctoral,Mother,Business,Private,1040000,3.5,3,3.5,3.5,4,2,4,3.5,2.5,3.5,2,3.22,No,Yes,No
0019,2020,2,Female,18,0,S,Urban,Apartment,74,Wifi,45000,High School,S,S5,2.5,2,4,3,3,Alone,Together,Bachelor,Master,Father,Freelance,Public,5350000,2.5,2,1.5,2.5,1.5,1.5,2.5,2,2.5,3.5,2.5,2.3,No,No,Medium
0020,2020,3,Female,18,0,E,Urban,Apartment,53,Wifi,47000,High School,E,E5,3.5,3,2,2,4,Alone,Together,Doctoral,Master,Father,Freelance,Business,5630000,3,3,3,3.5,3,1.5,3,3.5,3.5,3,2.5,3.1,Yes,No,Medium
0021,2020,2,Male,18,0,S,Urban,Apartment,76,Mobile,7000,Vocational School,S,S8,3,3.5,2,3,3,Alone,Apart,Bachelor,Master,Mother,Freelance,Private,290000,3,3.5,3.5,3.5,3.5,2.5,4,3.5,2.5,2.5,4,3.34,No,No,No
0022,2020,3,Male,18,0,E,Rural,Apartment,87,Mobile,6000,High School,E,E1,4,2,3.5,2,3,Alone,Together,Vocational,Vocational,Father,Business,Public,250000,3.5,3,3,4,3.5,3.5,4,3.5,3,4,3,3.46,No,No,Low
0023,2020,2,Female,18,18,BKK,Urban,Home,53,Mobile,12000,High School,BKK,BKK8,2,3.5,3,4,3,Parents,Together,Master,Master,Mother,Freelance,Private,720000,2,2.5,2.5,2,1.5,0.5,2.5,2,1,2,4,2.17,No,Yes,Medium
0024,2020,2,Male,18,0,N,Urban,Apartment,13,Mobile,6000,High School,N,N4,3,2,3.5,2,3,Roommates,Apart,Vocational,Bachelor,Mother,Freelance,Public,250000,3,4,4,3,2,2.5,3.5,3,1.5,3,2,2.99,No,No,High
0025,2020,2,Female,18,18,BKK,Urban,Apartment,24,Wifi,6000,High School,BKK,BKK9,4,2,4,4,3,Alone,Together,Master,Master,Father,Business,Business,670000,3.5,3,3,4,3.5,4,3,4,4,4,3,3.54,No,No,High
0026,2020,3,Male,19,0,N,Urban,Apartment,9,Mobile,12000,High School,N,N7,3,4,4,2,3,Alone,Together,Master,Doctoral,Father,Business,Private,840000,3,3.5,3.5,3,2.5,3,2.5,3,1.5,3,1,2.94,Yes,No,Low
0027,2020,3,Female,18,18,BKK,Urban,Home,83,Wifi,33000,Vocational School,BKK,BKK10,2.5,3.5,2,2.5,4,Parents,Together,Doctoral,Doctoral,Father,Business,Private,3940000,2.5,3,3,2,2.5,1,2.5,2.5,2.5,3,4,2.81,No,No,High
0028,2020,2,Female,18,3,S,Urban,Apartment,93,Wifi,48000,High School,S,S6,4,3.5,2.5,2,3,Alone,Together,Master,Master,Father,Public,Freelance,5770000,3.5,3,3.5,3.5,4,2.5,3.5,3,4,3.5,2.5,3.37,Yes,No,High
0029,2020,2,Female,18,0,N,Urban,Apartment,56,Mobile,10000,High School,BKK,BKK10,2.5,2.5,3.5,3.5,3,Alone,Together,High School,Primary,Father,Business,Business,380000,2.5,2.5,3,2,2.5,1,3,2,1,3,2,2.44,No,No,High
0030,2020,3,Male,18,0,N,Rural,Home,15,Wifi,54000,High School,N,N6,3,4,3.5,2,4,Parents,Together,Master,Master,Father,Freelance,Public,6430000,3,3,3.5,3.5,3.5,2,3,3.5,3.5,2,4,3.25,No,No,High
0031,2020,3,Female,18,0,NE,Rural,Apartment,22,Mobile,6000,High School,NE,NE4,3.5,3,2.5,3,2,Roommates,Apart,High School,High School,Mother,Private,Private,250000,3,2.5,2.5,3.5,3.5,2,3,3.5,3,4,2,2.87,No,No,High
0032,2020,3,Male,18,0,S,Urban,Apartment,25,Mobile,35000,High School,S,S9,3.5,4,4,2,4,Alone,Together,Doctoral,Master,Father,Private,Public,4180000,3,2.5,2,3,3,1.5,3,2.5,2,4,1.5,2.83,No,No,High
0033,2020,3,Female,18,0,S,Urban,Home,79,Mobile,12000,High School,S,S4,2.5,2.5,2,2,3,Parents,Together,Primary,Primary,Father,Business,Freelance,520000,2,2,4,2.5,3,1,1.5,1.5,1.5,2,2.5,2.27,No,No,Medium
0034,2020,2,Female,18,0,N,Urban,Apartment,59,Wifi,17000,High School,N,N8,3.5,4,4,3,3,Alone,Together,Master,Master,Father,Public,Business,670000,3,3.5,2.5,3.5,4,2,4,3,1.5,3.5,2,3.02,No,No,High
0035,2020,2,Male,18,3,BKK,Urban,Home,36,Mobile,13000,High School,BKK,BKK3,3,2.5,2,3,3,Parents,Together,Vocational,Vocational,Father,Private,Private,560000,2.5,2,2.5,2.5,2.5,2,2,2,1,2.5,2,2.5,No,No,High
0036,2020,2,Male,18,3,S,Urban,Home,24,Wifi,7000,High School,S,S10,3.5,3,2,3,2,Mom or Dad,Apart,Bachelor,Master,Mother,Public,Public,770000,3,2.5,3.5,3.5,4,3.5,2.5,2.5,3,2.5,2.5,3.16,No,No,No
0037,2020,2,Female,18,3,BKK,Urban,Home,62,Wifi,41000,Vocational School,BKK,BKK6,4,3,2.5,4,4,Parents,Together,Master,Master,Mother,Public,Freelance,4930000,4,3.5,4,4,3.5,3,4,4,4,4,1,3.56,No,No,Low
0038,2020,2,Male,18,3,BKK,Urban,Home,66,Wifi,8000,Vocational School,BKK,BKK9,3.5,4,2,2,3,Parents,Together,Master,Bachelor,Father,Freelance,Public,900000,3,4,4,3,3.5,3,2.5,3.5,2.5,3.5,3.5,3.32,Yes,No,Medium
0039,2020,2,Male,18,3,BKK,Urban,Home,16,Wifi,9000,Vocational School,BKK,BKK6,3.5,3,4,2.5,3,Parents,Together,Doctoral,Doctoral,Father,Business,Freelance,720000,3.5,3,3,3.5,4,4,3.5,4,3.5,4,3.5,3.55,No,Yes,High
0040,2020,3,Male,18,0,N,Urban,Apartment,33,Wifi,30000,High School,BKK,BKK10,2,3.5,3.5,3,3,Alone,Together,Master,Doctoral,Father,Business,Public,3600000,2,1,0.5,1.5,1,0,2,1.5,1,1.5,4,1.91,No,No,Low
0041,2020,2,Female,18,18,BKK,Urban,Home,60,Mobile,9000,High School,BKK,BKK10,3,4,2,4,4,Parents,Together,Master,Bachelor,Father,Business,Public,1120000,2.5,1.5,2,3,3.5,2,3,2.5,2,3,2.5,2.68,No,No,High
0042,2020,3,Female,18,18,BKK,Urban,Home,20,Wifi,9000,High School,BKK,BKK9,2,3,3,2,3,Parents,Together,Doctoral,Doctoral,Father,Business,Business,1020000,2,2,2.5,2.5,2,2.5,2,2.5,2,2,1,2.39,No,Yes,Medium
0043,2020,3,Female,18,0,NE,Urban,Apartment,62,Wifi,14000,Vocational School,NE,NE6,2.5,2,2.5,2.5,3,Roommates,Together,Master,Bachelor,Father,Business,Business,1290000,2.5,2,2,2,2.5,1,2.5,2.5,1.5,4,3,2.37,No,No,High
0044,2020,2,Male,18,0,S,Urban,Apartment,41,Mobile,4000,High School,S,S8,3.5,3,2,2.5,4,Alone,Together,Primary,Primary,Father,Business,Freelance,250000,3,2,2,2.5,2.5,2.5,2.5,3,2.5,3.5,4,2.68,No,No,High
0045,2020,2,Male,19,0,S,Rural,Apartment,15,Wifi,44000,High School,S,S3,2,3.5,2,2,3,Roommates,Apart,Master,Bachelor,Mother,Business,Private,5230000,2,1,2,2,2,0,2,2.5,1.5,2,2,2.15,No,No,Medium
0046,2020,3,Male,18,3,BKK,Urban,Home,20,Wifi,9000,High School,BKK,BKK2,3,3,2,4,4,Parents,Together,Bachelor,Vocational,Father,Private,Business,1080000,2.5,2.5,2.5,2.5,2,3.5,2.5,2.5,2,2,2.5,2.62,No,No,High
