Student_ID,Year_of_Entry,TCAS_channels,Gender,Age,Years_Living_in_BKK,Hometown_REGION,Address_Type,Where_to_stay,Time_spent_for_traveling,InternetAccess_at_Home,Living_expenses_,Type_of_prior_school,Prior_School_Province_REGION,School_name,Math,Physics,Chemistry,Biology,Family_Size,Stay_with,Family_status,Father_Education,Mother_Education,guardian,mother_job,father_job,Household_income,Calculus_1,Calculus_2,Calculus_3,Physics_1,Physics_2,Chemistry,Statistics,Computer_Programming,Thermodynamics,Engineering_Materials,Engineering_Drawing,University_GPAx_1st_year,Scholarship_Excellent_Performance,Scholarship_Financial_Aid,Participation_on_Activities
0001,2020,2,Male,18,18,BKK,Urban,Apartment,56,Mobile,8000,Vocational School,BKK,BKK1,2,2,2,2.25,4,Alone,Together,Bachelor,Vocational,Mother,Private,Private,330000,1.5,1,2,2,2,2,1.5,2,1,2.5,1.5,2.15,No,No,High
0002,2020,2,Male,18,18,BKK,Urban,Apartment,17,Wifi,14000,Vocational School,BKK,BKK3,2.5,3,3,2.5,4,Alone,Together,Primary,High School,Father,Private,Business,550000,2.5,2,1.5,3,3.5,1.5,3,1.5,2.5,3,4,2.58,No,No,High
0003,2020,2,Male,18,0,E,Urban,Apartment,12,Mobile,7000,High School,E,E10,1.5,1.75,1.75,2,3,Alone,Together,High School,Primary,Mother,Private,Public,570000,1.5,1,1.5,2,2,0.5,1.5,1.5,1.5,2,2,1.95,No,No,High
0004,2020,3,Male,19,4,BKK,Urban,Home,15,Wifi,5000,High School,BKK,BKK9,3,3,3,2.75,3,Mom or Dad,Apart,Vocational,High School,Mother,Private,Freelance,550000,3,3.5,4,3.5,2.5,2,3,3,1.5,3,2,3.03,Yes,No,No
0005,2020,1,Male,18,3,BKK,Urban,Home,87,Wifi,13000,Vocational School,BKK,BKK3,3.5,3,2.5,3.5,4,Parents,Together,Bachelor,Bachelor,Father,Private,Business,1190000,3,2.5,1.5,3.5,3,2.5,3,3,2.5,3,2.5,2.8,No,No,Medium
0006,2020,3,Male,18,0,NE,Urban,Apartment,86,Mobile,8000,High School,NE,NE10,3,2.5,3,3,3,Alone,Together,Bachelor,Master,Father,Business,Business,580000,3,3,3,3.5,2.5,1.5,3,3.5,3,3.5,2.5,3.06,No,No,High
0007,2020,3,Male,18,18,BKK,Urban,Apartment,67,Wifi,15000,High School,BKK,BKK5,3.25,2.75,3.25,3.5,4,Roommates,Together,Vocational,Vocational,Father,Business,Private,1770000,3,3.5,3.5,4,4,2.5,4,3,2,3,3.5,3.4,No,No,Low
0008,2020,3,Male,18,3,S,Urban,Home,70,Wifi,13000,High School,S,S1,2.25,1.75,1.75,2.75,3,Parents,Together,Primary,Primary,Mother,Public,Public,650000,2,1.5,2.5,2.5,3.5,1,2,2.5,0.5,3,2.5,2.42,No,Yes,High
0009,2020,2,Female,18,18,BKK,Urban,Home,16,Wifi,9000,High School,BKK,BKK4,2.25,2,2.75,2.75,3,Mom or Dad,Apart,Vocational,Bachelor,Mother,Freelance,Freelance,340000,2,1.5,2,2.5,2.5,2,2,2.5,2,2.5,2,2.27,No,No,High
0010,2020,3,Male,18,0,E,Urban,Apartment,101,Mobile,6000,High School,E,E5,3,3,3,2.75,2,Alone,Apart,Bachelor,Vocational,Mother,Freelance,Private,240000,3,2.5,2.5,3.5,3,4,3,3,1.5,3,3.5,2.94,Yes,No,Low
0011,2020,1,Female,19,19,BKK,Urban,Home,69,Mobile,9000,Vocational School,BKK,BKK2,2.5,3,2,1.5,3,Parents,Together,Vocational,Bachelor,Father,Business,Business,360000,2,2,3.5,2.5,3,1,2.5,1.5,1.5,2,3,2.28,No,No,Medium
0012,2020,1,Female,18,18,BKK,Urban,Apartment,18,Mobile,5000,Vocational School,BKK,BKK6,3.25,3.25,2,3.25,4,Alone,Together,Vocational,Bachelor,Father,Freelance,Business,200000,3,3.5,3.5,3.5,3.5,2.5,3.5,3.5,2.5,2.5,1.5,2.94,No,No,High
0013,2020,3,Female,18,0,S,Urban,Apartment,15,Wifi,10000,High School,S,S10,2,1.75,1.75,3.5,4,Alone,Together,High School,High School,Father,Private,Business,1040000,2,2,2,2.5,2,1.5,2,1.5,1.5,1.5,4,2.35,No,No,High
0014,2020,3,Female,19,0,E,Urban,Apartment,17,Wifi,9000,High School,BKK,BKK4,3.5,3.5,4,4,4,Alone,Together,High School,Primary,Father,Business,Business,1010000,3.5,4,4,4,4,2,3.5,4,2,3.5,4,3.44,Yes,No,Medium
0015,2020,2,Male,19,19,BKK,Urban,Home,5,Wifi,7000,Vocational School,BKK,BKK6,2.25,2.25,2,2.5,5,Parents,Together,High School,High School,Mother,Freelance,Business,370000,2,2,2.5,2.5,2.5,1,2.5,2.5,2,2,3.5,2.59,No,No,Medium
0016,2020,2,Female,18,18,BKK,Urban,Home,54,Wifi,12000,Vocational School,BKK,BKK5,2.75,2.75,3.25,2.25,4,Parents,Together,High School,Primary,Mother,Business,Freelance,1380000,2.5,2.5,3.5,3,3,1.5,2,2,1,3,1,2.53,No,No,Low
0017,2020,2,Male,20,20,BKK,Urban,Home,21,Mobile,6000,High School,BKK,BKK10,2.25,1.75,2.75,1.75,3,Parents,Together,Primary,Primary,Mother,Public,Business,250000,1.5,1.5,2.5,2,2.5,2.5,1.5,2,1.5,2,3,2.37,No,No,Medium
0018,2020,3,Female,19,0,E,Urban,Apartment,73,Mobile,7000,High School,BKK,BKK8,2.75,3.25,3.25,3.25,3,Roommates,Together,Bachelor,Bachelor,Father,Private,Business,400000,2.5,3,3.5,3,3,1,2.5,2.5,3,3.5,2.5,2.72,No,No,No
0019,2020,3,Male,18,18,BKK,Urban,Home,79,Mobile,12000,High School,BKK,BKK10,2.75,3,3.25,2.75,3,Parents,Together,Bachelor,Vocational,Father,Business,Freelance,530000,2.5,2,2,3,2.5,2,3,2.5,2.5,2.5,2,2.7,No,No,No
0020,2020,3,Male,18,18,BKK,Urban,Home,55,Wifi,12000,High School,BKK,BKK10,2.25,2.25,3.25,1.75,3,Parents,Together,Vocational,High School,Mother,Private,Business,550000,2,1.5,1,2.5,2.5,1.5,2,2,1,1,2,2.09,No,Yes,Low
0021,2020,2,Male,18,18,BKK,Urban,Home,29,Wifi,8000,Vocational School,BKK,BKK10,3,3,2.75,2.75,3,Parents,Together,Vocational,High School,Mother,Freelance,Private,330000,2.5,3,3,3,2.5,2.5,2,2.5,1,1.5,1,2.36,No,No,Medium
0022,2020,1,Male,18,3,BKK,Urban,Apartment,25,Wifi,13000,Vocational School,BKK,BKK1,2.25,1.5,2,2.75,3,Alone,Together,High School,High School,Father,Freelance,Public,1560000,2.5,2,3,3,3,1,2.5,2.5,2.5,3,4,2.77,No,No,Low
0023,2020,2,Male,18,18,BKK,Urban,Apartment,79,Mobile,10000,Vocational School,BKK,BKK2,2.75,3,2.75,2.5,4,Alone,Together,Primary,Primary,Father,Private,Public,590000,2.5,2.5,2.5,3,3,2,2,2.5,1,2,1.5,2.4,No,No,Low
0024,2020,2,Male,18,18,BKK,Urban,Home,87,Wifi,12000,High School,BKK,BKK4,3.5,3,4,3.25,3,Parents,Together,High School,Vocational,Father,Public,Business,1410000,3,2.5,1.5,3.5,3.5,2,3.5,3.5,1.5,3,2.5,2.74,No,No,Low
0025,2020,2,Male,18,3,S,Urban,Apartment,72,Wifi,15000,High School,BKK,BKK9,2,2,2.25,3.5,3,Alone,Apart,Bachelor,Bachelor,Mother,Public,Business,1030000,2,1,2,2.5,2.5,3.5,1.5,2.5,1.5,2,3.5,2.32,No,No,Low
0026,2020,1,Male,18,3,BKK,Urban,Home,45,Wifi,7000,Vocational School,BKK,BKK8,3.25,3,2.75,3.25,3,Parents,Together,High School,Primary,Mother,Freelance,Public,280000,2.5,3,3,3,3,2,3,2.5,2,3.5,1.5,2.88,No,Yes,High
