Student_ID,Year_of_Entry,TCAS_channels,Gender,Age,Years_Living_in_BKK,Hometown_REGION,Address_Type,Where_to_stay,Time_spent_for_traveling,InternetAccess_at_Home,Living_expenses,Type_of_prior_school,Prior_School_Province REGION,School_name,Math,Physics,Chemistry,Biology,Family_Size,Stay_with,Family_status,Father_Education,Mother_Education,guardian,mother_job,father_job,Household_income,Calculus_1,Calculus_2,Calculus_3,Physics_1,Physics_2,Chemistry,Statistics,Computer_Programming,Thermodynamics,Engineering_Materials,Engineering_Drawing,University_GPAx_1st_year,Scholarship_Excellent_Performance,Scholarship_Financial_Aid,Participation_on_Activities
1,2020,3,Female,18,0,S,Urban,Apartment,36,Wifi,94000,High School,S,S1,2,1.75,1.75,1.75,4,Alone,Together,Bachelor,Master,Mother,Freelance,Business,2000000,1.5,1.5,2,0.5,0.5,1.5,2,1.5,0,1,2,1.78,No,No,Medium
2,2020,3,Male,18,18,BKK,Urban,Home,5,WIFI,11000,High School,BKK,BKK9,3,3,3.5,2.75,3,Parents,Together,Master,Bachelor,Father,Public,Private,1280000,3,2.5,3,1.5,1.5,3.5,3.5,2.5,4,3,1,2.86,No,No,High
3,2020,3,Male,18,,BKK,Urban,Apartment,76,Mobile,15000,High School,BKK,BKK2,3,2.5,3,2.75,4,Alone,Together,Bachelor,Bachelor,Father,Private,Business,3490000,3,3.5,4,2,2.5,2.5,3,4,3,2.5,2,3.2,No,No,No
4,2020,1,Male,18,3,BKK,Urban,Home,77,Wifi,12000,Vocational School,BKK,BKK6,2.25,2,2.5,2.75,3,Parents,Together,Bachelor,Bachelor,Mother,Private,Private,560000,2,1.5,2,1.5,2,1.5,2.5,2,2,1.5,2,2.2,No,No,Low
5,2020,2,Female,18,18,BKK,Urban,Home,1001,Wifi,14000,Vocational School,BKK,BKK2,2,1.75,2,2,4,Parents,Together,Master,Bachelor,Mother,Freelance,Private,700000,1.5,1.5,1,1,1.5,1,2.5,1.5,1.5,2.5,3,2.19,No,No,Low
6,2020,,Female,19,4,S,Urban,Apartment,57,Wifi,15000,High School,BKK,BKK1,3,2.75,3.5,2.75,3,Alone,Together,Bachelor,Master,Father,Private,Public,2200000,2.5,2.5,2.5,2,3,1,2.5,3,1.5,2.5,0,2.36,No,No,Medium
7,2020,2,Female,18,18,BKK,Urban,Apartment,16,Mobile,11000,High School,BKK,BKK2,3.25,3,3.5,2.25,3,Roommates,Together,Bachelor,Bachelor,Father,Public,Public,1330000,3,3,3,2,2,1.5,3,3,2,3.5,1,2.83,No,No,Medium
7,2020,2,Female,18,18,BKK,Urban,Apartment,16,Mobile,11000,,BKK,BKK2,3.25,3,3.5,2.25,3,Roommates,Together,Bachelor,Bachelor,Father,Private,Public,1330000,3,3,3,2,2,1.5,3,3,2,3.5,1,2.83,No,No,Medium
7,2020,2,Female,18,18,BKK,Urban,Apartment,16,Mobile,11000,High School,BKK,BKK2,3.25,3,3.5,2.25,3,Roommates,Together,Bachelor,Bachelor,Father,Freelance,Public,1330000,3,3,3,2,2,1.5,3,3,2,3.5,1,2.83,No,No,High
7,2020,2,Female,18,18,BKK,Urban,Apartment,16,Mobile,11000,High School,BKK,BKK2,3.25,3,3.5,2.25,3,Roommates,Together,Bachelor,Bachelor,Father,Public,Private,1330000,3,3,3,2,2,1.5,3,3,2,3.5,1,2.83,No,No,High
