Student_ID,Year_of_Entry,TCAS_channels,Years_Living_in_BKK,Hometown_REGION,Address_Type,Where_to_stay,Time_spent_for_traveling,InternetAccess_at_Home,Living_expenses,Type_of_prior_school,Prior_School_Province_REGION,School_name,Math,Physics,Chemistry,Biology,Family_Size,Stay_with,Family_status,Father_Education,Mother_Education,guardian,mother_job,father_job,Household_income,Calculus_1,Calculus_2,Calculus_3,Physics_1,Physics_2,Chemistry_1,Statistics,Computer_Programming,Thermodynamics,Engineering_Materials,Engineering_Drawing,University_GPAx_1st_year,Scholarship_Excellent_Performance,Scholarship_Financial_Aid,Participation_on_Activities
2,2020.0,3.0,18.0,BKK,Urban,Home,5,wifi,11000,High School,BKK,BKK9,3.0,3.0,3.5,2.75,3,Parents,Together,Master,Bachelor,Father,Public,Private,1280000,3.0,2.5,3.0,1.5,1.5,3.5,3.5,2.5,4.0,3.0,1.0,2.86,No,No,High
4,2020.0,1.0,3.0,BKK,Urban,Home,77,wifi,12000,Vocational School,BKK,BKK6,2.25,2.0,2.5,2.75,3,Parents,Together,Bachelor,Bachelor,Mother,Private,Private,560000,2.0,1.5,2.0,1.5,2.0,1.5,2.5,2.0,2.0,1.5,2.0,2.2,No,No,Low
7,2020.0,2.0,18.0,BKK,Urban,Apartment,16,mobile,11000,High School,BKK,BKK2,3.25,3.0,3.5,2.25,3,Roommates,Together,Master,Bachelor,Father,Public,Private,1330000,3.0,3.0,3.0,2.0,2.0,1.5,3.0,3.0,2.0,3.5,1.0,2.83,No,No,Medium
8,2020.0,2.0,3.0,BKK,Urban,Apartment,79,wifi,15000,Vocational School,BKK,BKK8,2.75,3.25,2.5,2.5,4,Alone,Together,Bachelor,Bachelor,Father,Public,Public,1770000,2.5,3.0,3.0,2.0,3.5,0.5,3.0,2.5,1.5,2.5,2.5,2.52,No,No,No
9,2020.0,2.0,3.0,BKK,Urban,Home,68,wifi,12000,High School,BKK,BKK5,1.5,1.75,1.75,1.75,3,Parents,Together,Master,Bachelor,Father,Private,Private,850000,1.5,1.0,2.0,1.0,2.0,1.5,2.0,2.0,0.5,1.0,2.0,1.9,No,No,No
10,2020.0,1.0,19.0,BKK,Urban,Home,81,mobile,13000,Vocational School,BKK,BKK9,3.0,2.75,3.0,2.25,4,Parents,Together,Bachelor,Bachelor,Father,Freelance,Private,1440000,3.0,2.5,3.0,2.5,3.5,3.0,3.5,3.5,2.5,3.0,1.0,2.99,No,No,High
11,2020.0,2.0,18.0,BKK,Urban,Apartment,90,wifi,15000,High School,BKK,BKK3,2.75,3.25,1.75,3.25,4,Alone,Together,Bachelor,Bachelor,Mother,Private,Public,990000,2.5,2.0,2.0,1.0,1.5,1.5,2.5,2.5,2.5,2.5,1.0,2.13,No,No,Low
13,2020.0,2.0,3.0,BKK,Urban,Home,16,wifi,15000,Vocational School,BKK,BKK3,3.25,2.75,3.25,3.5,2,Parents,Together,Bachelor,Bachelor,Mother,Public,Business,3560000,3.0,3.5,4.0,2.5,3.0,2.0,3.5,3.0,2.5,3.5,4.0,3.3,No,No,High
14,2020.0,2.0,19.0,BKK,Urban,Apartment,50,wifi,14000,High School,BKK,BKK1,2.75,1.5,2.75,1.5,2,Alone,Apart,Master,Master,Mother,Private,Public,1000000,2.5,2.0,2.0,1.5,2.5,1.0,3.0,3.0,2.5,2.5,3.5,2.72,No,No,Low
15,2020.0,3.0,0.0,E,Urban,Apartment,7,mobile,15000,High School,E,E3,2.5,2.0,2.5,2.5,3,Alone,Together,Bachelor,Bachelor,Father,Freelance,Private,2000000,2.5,2.0,3.0,1.5,1.5,2.5,2.5,3.0,1.5,3.0,3.0,2.5,No,No,Low
16,2020.0,2.0,19.0,BKK,Urban,Home,59,wifi,12000,High School,BKK,BKK5,2.75,3.25,3.25,3.25,4,Parents,Together,Bachelor,Bachelor,Mother,Private,Public,1110000,2.5,2.0,2.5,2.0,2.5,1.0,3.0,2.5,3.5,2.5,4.0,2.67,No,No,Low
17,2020.0,2.0,0.0,S,Urban,Apartment,39,wifi,15000,High School,BKK,BKK3,2.75,3.0,2.75,3.25,2,Roommates,Apart,Master,Bachelor,Mother,Freelance,Freelance,910000,2.5,2.5,2.5,2.0,2.5,2.0,2.0,3.5,0.5,3.0,2.5,2.58,No,No,Medium
19,2020.0,1.0,19.0,BKK,Urban,Home,38,wifi,9000,Vocational School,BKK,BKK8,2.25,2.0,2.25,2.75,3,Parents,Together,Bachelor,Bachelor,Father,Freelance,Business,960000,2.0,2.0,3.0,1.0,2.5,0.0,2.0,1.5,2.0,2.5,2.5,2.21,No,Yes,Medium
20,2020.0,2.0,3.0,BKK,Urban,Home,52,wifi,15000,High School,BKK,BKK3,2.75,3.25,2.25,2.5,3,Parents,Together,Bachelor,Bachelor,Father,Public,Private,2700000,2.5,2.0,1.5,1.5,4.0,3.0,2.5,3.0,2.0,2.0,3.5,2.87,Yes,No,High
23,2020.0,2.0,18.0,BKK,Urban,Home,87,wifi,12000,High School,BKK,BKK5,3.5,3.0,3.5,2.25,4,Parents,Together,Bachelor,Bachelor,Mother,Business,Private,1430000,3.0,3.0,3.5,2.0,2.5,2.5,2.5,2.5,3.0,3.5,1.0,2.98,No,No,Low
25,2020.0,2.0,0.0,E,Rural,Apartment,83,mobile,15000,High School,E,E5,1.5,2.0,1.75,1.75,5,Alone,Together,Bachelor,Master,Father,Freelance,Freelance,650000,1.5,1.0,2.0,0.5,1.0,2.0,2.5,1.5,0.5,1.5,2.5,1.79,No,No,No
26,2020.0,2.0,18.0,BKK,Urban,Apartment,81,wifi,10000,Vocational School,BKK,BKK4,3.0,3.0,3.0,2.75,3,Alone,Together,Bachelor,Bachelor,Father,Private,Public,1020000,2.5,2.5,3.0,1.5,2.0,2.0,2.0,2.0,2.5,2.0,2.5,2.35,No,No,Medium
27,2020.0,1.0,18.0,BKK,Urban,Home,65,wifi,8000,Vocational School,BKK,BKK2,3.0,3.25,2.75,3.25,3,Mom or Dad,Apart,Bachelor,Bachelor,Mother,Freelance,Private,1000000,3.0,2.5,4.0,2.0,3.0,1.0,3.0,3.0,3.0,3.5,2.0,2.87,No,Yes,Medium
28,2020.0,3.0,0.0,NE,Urban,Apartment,34,wifi,13000,High School,NE,NE7,3.0,2.75,3.5,3.5,3,Alone,Together,Master,Bachelor,Mother,Public,Private,1010000,2.5,2.5,2.0,1.5,2.5,1.5,2.0,2.0,1.5,2.5,2.5,2.4,No,No,Medium
29,2020.0,3.0,0.0,S,Urban,Apartment,29,wifi,15000,High School,S,S8,3.5,3.75,3.5,3.5,4,Alone,Together,Bachelor,Bachelor,Father,Freelance,Business,3790000,3.5,4.0,4.0,2.5,2.5,3.0,3.0,3.5,3.5,3.5,3.5,3.45,Yes,No,Medium
