Student_ID,Year_of_Entry,Hometown REGION,Address_Type,Where_to_stay,Age,Years_Living_in_BKK,Time_spent_for_traveling,Type_of_prior_school,Math,Physics_,Chemistry_,Biology_,Gender,Family_Size,Stay_with,Family_status,Prior_School_Province,Calculus_1,Calculus_2,Calculus_3,Physics_1,Physics_2,Chemistry_,Statistics_,Computer_Programming,Thermodynamics_,Engineering_Materials_,Engineering_Drawing,Household_income,Living_expenses_,University_GPAx,TCAS_channels_,InternetAccess_at_Home,Father_Education,Mother_Education,guardian,mother's_job,father's_job,Participation_on_Activities
1,2020,NE,R,A,18,0,5,H,3.5,3,2.5,3,F,3,A,T,NE,3,3,3.5,3.5,3.5,1,4,2.5,2.5,3.5,1,510000,13000,2.93,2,M,P,P,F,Free,Bus,M
2,2020,N,U,A,18,0,15,H,3,4,2,3,M,3,A,A,N,2.5,2,2.5,3,2,2,3,3,2,3,2,640000,3000,2.74,2,W,B,M,M,Free,Un,H
3,2020,BKK,U,H,18,3,5,V,2,3.5,2.5,4,F,3,P,T,BKK,2,0.5,1,2,1.5,1.5,1.5,2,2,2.5,2,1290000,6000,2.11,1,W,D,M,M,Pub,Pub,L
4,2020,BKK,U,H,18,18,25,H,3,3,3,4,F,4,P,T,BKK,2.5,2.5,2,2.5,2.5,2.5,2.5,2.5,1.5,3,2.5,580000,13000,2.72,2,W,V,V,M,Free,Free,L
5,2020,BKK,U,H,18,3,5,V,2,3.5,2.5,2,M,4,P,T,BKK,2,2,3,2,2,0,1.5,3,1,1.5,0.5,610000,5000,1.98,1,W,B,M,F,Free,Pub,L
6,2020,S,U,A,19,0,10,H,3.5,2.5,2,3,M,3,A,T,S,3,2.5,3,3,4,3,2.5,4,3.5,3,1.5,540000,11000,3.04,2,W,P,P,M,Free,Pri,N
7,2020,N,U,A,18,0,10,V,2,4,2.5,2.5,M,3,RM,A,N,2,1.5,1,2,2,2.5,2,2,2,2,2.5,700000,7000,2.3,3,W,B,V,F,Un,Free,L
8,2020,BKK,U,H,18,18,5,H,2,4,2.5,2.5,F,4,P,T,BKK,2,2,2.5,2.5,3.5,1.5,2.5,3,1.5,3,3,1540000,5000,2.66,2,W,D,M,M,Bus,Bus,N
9,2020,S,U,A,18,3,5,H,4,3.5,3,2.5,F,3,RM,T,S,3.5,3.5,3,3.5,3.5,2.5,3.5,3.5,3,3,3,570000,6000,3.36,2,W,H,V,F,Pub,Pri,M
10,2020,BKK,U,H,18,18,70,H,2,2,2.5,3,M,4,P,T,BKK,1.5,2,2.5,1.5,1,0.5,2,1.5,1,1.5,2.5,500000,12000,1.9,2,W,P,P,M,Free,Free,N
11,2020,NE,U,A,19,0,30,H,4,2.5,3,3,F,5,A,T,NE,3.5,4,4,4,4,4,4,3.5,2.5,3.5,3.5,1190000,7000,3.7,3,W,M,D,M,Pub,Bus,M
12,2020,NE,R,A,18,0,5,H,3.5,2.5,4,4,M,4,A,T,NE,3,3,3.5,3,3,2.5,3,3,2,3,2.5,450000,11000,3.05,3,W,B,M,M,Free,Pub,H
13,2020,NE,U,A,18,3,10,H,3,3,3.5,4,F,4,A,T,NE,3,2,1.5,3,4,3,3,3.5,2,3,2,640000,10000,2.94,2,W,B,M,M,Free,Bus,L
14,2020,NE,R,A,18,0,20,H,4,2,2.5,2,M,3,A,T,NE,3,4,4,3,3.5,3.5,3,3,2,3.5,0.5,950000,4000,3.18,3,M,B,M,F,Pub,Free,L
15,2020,NE,U,A,18,0,5,H,3,3.5,2.5,3.5,F,3,A,T,NE,3,2.5,2.5,2.5,2,3,3,3,2,3,2,500000,12000,2.83,3,W,H,V,F,Pri,Pub,H
16,2020,BKK,U,H,18,18,60,V,2,4,2,3,M,3,MoD,A,BKK,2.5,2.5,4,2.5,3,2,3.5,1.5,2,3,3,490000,12000,2.84,1,W,V,H,M,Free,Un,H
17,2020,BKK,U,A,18,18,15,H,4,3.5,4,2.5,M,3,A,T,BKK,3.5,3,3,4,2.5,4,3.5,2.5,2.5,3,2,810000,7000,3.1,3,M,B,M,M,Pri,Bus,M
18,2020,BKK,U,H,18,18,55,V,3.5,2,3.5,2.5,F,3,P,T,BKK,3.5,3.5,3,3.5,3,2.5,4,4,2.5,4,3,1470000,3000,3.35,1,W,D,M,F,Pri,Free,N
